サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
Crimson Moon,くりむぞんむーん,http://crimsonmoon.rejec.net/,ハードロック、テクノ、エレクトロ,,Endless Phantasmagoria,原曲維持,ストイックなインストハードロック成分が欲しい方はこちら。（Black）
CrimsonBoots,くりむぞんぶーつ,http://www.voiceblog.jp/lemmyrask/,ハードロック、ヘヴィメタル,,Party in the Sacred Garden,原曲維持,
Croak Not Rue,くろくなる,http://www.tcct.zaq.ne.jp/croak_not_rue/,テクノ、エレクトロ、ロック,男,赤い霧ばらまくとかマジありえねぇよこのビッチ,原曲維持,
Cross Current,くろすかれんと,,アコギ,,Stream,原曲維持,静謐なアコギアレンジは貴重。（Black）
CrossGear,くろすぎあ,http://crossgear.cc/,ダンス、ロック,女,東方疾奏曲,原曲維持,
CROW'SCLAW,くろうすくろう,http://www.crowsclaw.info/,メタル,,Brutal Games For Reminding Of Death,原曲維持,圧倒的な技術と迫力のギターメタルサウンド。（Black）
CROW'SCLAW,くろうすくろう,http://www.crowsclaw.info/,メタル,,Brutal Games For Reminding Of Death,原曲維持,アメリカンな雰囲気の漂う骨太な「聞かせる」ロックがカッコいい、実力派サ－クル！（瑞葉）
C's Killer,しーずきらー,,,,,,
CTBR,しーてぃーびーあーる,http://ctbr.jp/,ダンス、トランス、ハードコア,,T ～東方夢想曲～,原曲維持～破壊,激しいトランスアレンジは気分を高揚させる。（Black）
CUBETYPE,きゅーぶたいぷ,http://www.cubetype.com/,テクノ、エレクトロ、トランス、ハードコア,女,東方紅舞闘　サントラ後夜祭バージョン（？） with AVSS,原曲重視～維持,ゲームミュージックとしてアレンジされた軽めの打ち込み系のサントラ、さらにはそれらのアレンジ曲をさらにクラブ系トランス・ハードコアにアレンジした作品など。（Black）
cYsmix　＆　Fire Rabbit,さいずみっくすあんどふぁいあらびっと,http://fire-rabbit.com/,テクノ、クラブ,,ＰＯＮＰＯＫＯＲＩＮ,原曲維持,多彩な音で非常に楽しくなれる作品。思わずからだが揺れてしまう。(鰻)
CYTOKINE,さいとかいん,http://cytokine-web.com/,テクノ、ロック、ピアノ、ダンス,女,THE OUTSIDE,原曲維持,アレンジするジャンルの多彩さ、そして安定感は群を抜く。（和泉）
Cカップ,しーかっぷ,,テクノ、ロック,女,Syabondarpeggio,原曲維持,テクノとロックの融合アレンジに女声ボーカル。（Black）
D.S.K Recordz,でぃーえすけーれこーづ,http://dskr.web.fc2.com/,トランス,男,The H.R.D. Redemption -Killer Night Girls-,原曲維持,どことなく楽しくなれるコンピアルバム。(鰻)
Dandelion Trio,だんでらいおんとりお,http://blog.goo.ne.jp/dandelion_memo,ダンス、テクノ、ポップス,女,東方幻夢譚,原曲重視～維持,中国のアレンジャーによるマルチジャンル。（Black）
danmaq,だんまっく,http://danmaq.com/,ロック、テクノ,,Leila Prismriver,原曲重視,シンプルなテクノロックアレンジ。（Black）
Dark PHOENiX ,だーくふぇにっくす,http://www.p-pr.info/,ロック、メタル,,ARROW RAIN,原曲維持,王道ギターをメインに様々な音を合わせて工夫を凝らす。（Black）
dBu music,どぶみゅーじっく,http://www.dobuusagi.com/,ダンス、ロック,,弾奏結界シリーズ,原曲重視,原曲をほぼ維持した構成は東方アレンジ初心者に聞きやすい。（Black）
DDBY ,でぃーでぃーびーわい,http://ddby.jp/,シンセ、エレクトロ,,Touhou Synthesisシリーズ,原曲維持,
DDとMPの同人工房 ,でぃーでぃーとえむぴーのどうじんこうぼう,http://dimpi.woto.net/,クラシック、オーケストラ,女,東方古典響 II ～ Infernal Freesias,原曲重視,クラシック、オケアレンジにゆったりめの韓国語女声ボーカルを載せたり、交響曲形式に仕上げた力作。（Black）
"Dear, friends",でぃあふれんず,http://dearfriends.sakura.ne.jp/,テクノ、エレクトロ,,D.M.シリーズ,原曲維持,ビートを強調したダークなテクノ。（Black）
Delights music,でぃらいつみゅーじっく,http://delights.in/,トランス,,Linkup remix side trance & progressive vol.1,原曲維持～破壊,
Demetori,でめとり,http://www.kawachi.zaq.ne.jp/demetori/,メタル、ハードロック,,闡提宗祀 ～ Offering to The Sukhavati,原曲維持,メタルアレンジといえばここ。分厚くクサいギターは必聴。（Black）
Deserted Place,でざーてっどぷれいす,http://2dp.blog81.fc2.com/,ジャズ、ハードロック、トランス,,東方夢幻律,原曲維持,
DFM,でぃーえふえむ,http://dfmusique.jugem.jp/,エレクトロ,,NightCOX 1.0,原曲維持～破壊,ミドルテンポでややダークなエレクトロ。（Black）
DHS,でぃーえいちえす,http://mixi.jp/view_community.pl?id=5431076,ハードロック、スクリーモ,男女,1st DEMO,原曲維持,激しいロックサウンドに女声ボーカルがメインパート、男声ボーカルがスクリーモ風に絶叫。（Black）
Die Symphonie des AZURES,でぃーしんふぉにーですあずーるす,http://azure.symphonic-net.com/,トランス、テクノ、エレクトロ,,月天 -Getten-,原曲維持,ダンサブルな速めのトランス四つ打ち系。（Black）
dieci beats,でぃえちびーつ,,テクノ、エレクトロ、ドラムンベース,女,東方IO-BEST BEATS,原曲維持,IOSYSのアレンジャーuno氏の個人サークル。IOSYSの楽曲を重たいクラブ系にリミックス。（Black）
DiGiTAL WiNG,でじたるうぃんぐ,http://digital-wing.net/,ダンス、トランス,女,DiGiTAL WiNG,原曲維持,アップテンポなヴォーカルアレンジ。(イール)
Digitalic party,でじたりっくぱーてー,http://digitalic-party.net/,ポップス、エレクトロ,女,Clamshell Relation,原曲維持,
DIHALMENT ,でぃはるめんと,http://cult.jp/dihalment/home.html,エレクトロニカ,男,酒郷・慧音詩,原曲維持,やさしいアレンジ。ボーカルアレンジになるはずだったが歌詞は朗読を仮当てているので詳細は不明。（和泉）
Dimension's Gate ,でぃめんしょんずげーと,http://dg.rimshoot.com/,テクノ、エレクトロ、ポップス、ロック,男,FANTASY OF FANTASY,原曲維持,シンプルなマルチジャンルアレンジに男声ボーカル。（Black）
Disaster,でぃざすたー,http://pine.zero.ad.jp/disaster/,シンセ、エレクトロ,,sephiroth,原曲維持～破壊,ゆったりとしたアレンジはリラックスに適している。（Black）
Discord Registers,でぃすこーどれじすたーず ,http://discordregisters.iza-yoi.net/,メタル,,FOGGY NIGHT,原曲維持,
disfact,でぃすふぁくと,http://www.disfact.com/,テクノ、エレクトロ,,Sound Of Rogue's Allure,原曲維持,
Disorder Circulation ,でぃそーだーさーきゅれーしょん,http://dc.seeds-9.com/,テクノ、ブレイクビーツ、エレクトロニカ,,"Flower, Sun, and Moon ",原曲破壊,ミニマル、アンビエント、ブレイクビーツ系のダークな曲調が非常に印象的。この手の曲が好きならお勧め。（Black）
Diverse System,でぃばーすしすてむ,http://www.diverse.jp/,,,thE,,
dizzic ,でぃじっく,http://www.pixiv.net/member.php?id=1297166,メタル,,Vampire Night,原曲維持,やや軽め、シンセの色濃いメタルアレンジ。（Black）
DLR,でぃーえるあーる,http://dlr.blog121.fc2.com/,ロック、ハードロック,男,東方紅魔郷 ～ the Overture of Crimson Blood.,原曲維持,男声ボーカルが力いっぱいに、エレギとシンセの定番ロックアレンジに乗る。（Black）
DoKuRo-Bose,どくろぼーず,http://dokurobose.blog22.fc2.com/,クラシック、ロック,,東方ぼうず,原曲重視,
DoLL/都築きせの,どーる/つづききせの,http://kiseno.itigo.jp/,トランス、ポップス、エレクトロニカ、民族,女,少女タチノ追想歌,原曲維持,定評ある女声ボーカルの東方アレンジ参入。マルチジャンルアレンジに硬めの女声ボーカル。（Black）
Door In Slum,どあいんすらむ,,,,東方米国演歌（仮）,,
DragonTree MusicTroops,どらごんつりーみゅーじっくとぅるーぷ,http://dragontree.sakura.ne.jp/,ポップス、クラシック、ダンス,女,とらべるちゃんす！,原曲重視～維持,ストリングスを基調とした多彩な味付けのマルチジャンル。（Black）
Draw the Emotional,どろーじえもーしょなる,http://dte.dotera.net/,ハードロック、テクノ、エレクトロ,男女,Collapse of the sky,原曲維持,荒削りのハードロックに女声ボーカル多め。（和泉）
Dread-note,どれっどのーと,,ロック,,Rock'N roll Junkies,原曲維持,
dreamy★star,どりーみーすたー,http://dreamystar.web.fc2.com/,ロック、テクノ、エレクトロ,,Advance,原曲維持,速めのドラムが印象的なロック成分強めなインスト。（Black）
Driving Kitchen,どらいびんぐきっちん,http://www.dkweb.org/,ロック,,東方熱帯夜,原曲維持,
Dropの小屋,どろっぷのこや,http://sound.jp/dropsound/,バロック、エレクトロ,女,東方バロック紀行,原曲維持,
DTXFiles.nmk,でぃーてぃーえっくすふぁいるずえぬえむけー,http://miohosina.moe.hm/,DTM、テクノ、エレクトロ,女,風祝恋哀歌,原曲維持,女声ボーカルも入った速めもゆったりもありな打ち込み系テクノ、エレクトロ風アレンジ。（Black）
Dust_Box_49,だすとぼっくす49,http://tsubu.ath.cx/~ziki_7/,テクノ、エレクトロ、アンビエント,,ハルノユメ,原曲維持～破壊,上々の技術とゆったりとしたアレンジ、特に和楽器の使い方は素晴らしい。（Black）
D'va,でぃーば,http://www5.pf-x.net/~malie/,トランス,,candybug,原曲破壊,ゴアトランスアレンジはここくらいしかない。秀逸。（Black）
E.B.S.0/1 ,いーびーえすぜろいち,http://zeroslash.blog62.fc2.com/,テクノ、エレクトロ、ハードコア,,The force of ruination ,原曲維持～破壊,硬めのテクノ系インストアレンジ。（Black）
Early Dismissal,あーりーでぃすみさる,,ロック、エレクトロ,,東方早期解雇,原曲維持,哀愁ほのかに漂うロックインストナンバー。（Black）
earth Japan SOFT,あーすじゃぱんそふと,http://earthj.net/,テクノ、エレクトロ,,eJ Game Collection3,原曲重視,1曲だけだが素晴らしい和風アレンジ。（Black）
EastNewSound,いーすとにゅーさうんど,http://e-ns.net/,ダンス、トランス,男女,Lyrical Crimson,原曲維持,
EcN,えろくない,http://www37.tok2.com/home/ito10ra/,スカ、ロック,,東方スカパラダイスオーケストラ,原曲維持～破壊,
EdelSounds,えーでるさうんず,http://sites.google.com/site/edelsounds/,ロック、ジャズ、ピアノ,女,Calm:,原曲重視,ピアノ中心に原曲メロディーラインを活かした良アレンジ。（鰻）
efs,いーえふえす,http://efs.holy.jp/,ダンス、ポップス,女,Lunatic Gate,原曲維持,整ったアレンジに安定した女性ボーカルは手堅い。（Black）
Eight-Million,えいとみりおん,http://8mm.iza-yoi.net/,クラシック、テクノ、エレクトロ,,FUTURE SCATTER,原曲維持～破壊,
Einherjar Records,えいんふぇりあれこーず,http://www.einherjarrecords.net/,トランス、テクノ、エレクトロ,,Ex.,原曲破壊,
El Dorado,えるどらーど,,テクノ、エレクトロ、クラシック,男,Solaris Lues,原曲重視～維持,マルチジャンルだがメインは荘厳なゴシックやバロック風打ち込み。優雅。（Black）
ELECTRIC RED ,えれくとりっくれっど,http://electricred.jp/,メタル,,Subterranean Sun,原曲維持～破壊,
Electrical Phantasm,えれくとりかる ふぁんたずむ,http://ephantasm.iza-yoi.net/,テクノ、エレクトロ,,幻想萃花,原曲維持,シンセメインのマルチジャンル。ゆったり系はもちろん、ハードなビートの曲もふんわりしたシンセ。（Black）
Elemental note,えれめんたるのーと,http://www.elemental-note.com/site/index.php,ポップス、エレクトロニカ,女,秋音風-Autumn of Touhou-,原曲維持,軽めのポップス、エレクトロニカはリラックスにお勧め。（Black）
Elemental Records ,えれめんたるれこーず,http://elemental-records.com/,トランス、テクノ、ロック,女,Strange Wind,原曲維持,
emotional music,えれめんたるみゅーじっく,http://www.geocities.jp/yoyo_ma_1/,ピアノ,,東方即興曲集 ～Master of record～,原曲重視,ピアノ生演奏アレンジ。非常に頑張りを感じた。（Black）
emroots,えむるーつ,http://www.emroots.com/,ダンス、ポップス、エレクトロ,女,reflection,原曲維持,端正なアレンジ。（Black）
encounter+,えんかうんたーぷらす,http://encounter-p.net/,ポップス,女,Akashic Record,原曲維持,手堅すぎるサークルが東方アレンジを1曲提供。安定した女声ボーカルの完成度は高い。（Black）
